Year,Month,Rainfall
2014,JAN,0
2014,FEB,0
2014,MAR,0
2014,APR,0
2014,MAY,22.6
2014,JUN,92.4
2014,JUL,155.5
2014,AUG,329.8
2014,SEP,137.5
2014,OCT,34.3
2014,NOV,0
2014,DEC,0
2015,JAN,0
2015,FEB,0
2015,MAR,0
2015,APR,0
2015,MAY,0
2015,JUN,21.3
2015,JUL,150.3
2015,AUG,245.8
2015,SEP,41
2015,OCT,0
2015,NOV,0
2015,DEC,0
2016,JAN,0
2016,FEB,0
2016,MAR,0
2016,APR,0
2016,MAY,36.7
2016,JUN,226.2
2016,JUL,186.8
2016,AUG,198.5
2016,SEP,116.6
2016,OCT,0
2016,NOV,0
2016,DEC,0
2017,JAN,0
2017,FEB,0
2017,MAR,0
2017,APR,0
2017,MAY,14.2
2017,JUN,114.2
2017,JUL,245.6
2017,AUG,342.1
2017,SEP,89
2017,OCT,0
2017,NOV,0
2017,DEC,0
2018,JAN,0
2018,FEB,0
2018,MAR,0
2018,APR,0
2018,MAY,13.8
2018,JUN,119.9
2018,JUL,219.4
2018,AUG,307.5
2018,SEP,97.4
2018,OCT,0
2018,NOV,0
2018,DEC,0
2019,JAN,0
2019,FEB,0
2019,MAR,0
2019,APR,0
2019,MAY,22.9
2019,JUN,212.2
2019,JUL,284
2019,AUG,289.3
2019,SEP,25
2019,OCT,64.8
2019,NOV,0
2019,DEC,0
2020,JAN,0
2020,FEB,0
2020,MAR,0
2020,APR,0
2020,MAY,11.8
2020,JUN,23.2
2020,JUL,283.8
2020,AUG,262.3
2020,SEP,241.5
2020,OCT,35.3
2020,NOV,0
2020,DEC,0
2021,JAN,0
2021,FEB,0
2021,MAR,0
2021,APR,0
2021,MAY,0
2021,JUN,22.7
2021,JUL,184.9
2021,AUG,254.9
2021,SEP,96.6
2021,OCT,69.4
2021,NOV,0
2021,DEC,0
2022,JAN,0
2022,FEB,0
2022,MAR,0
2022,APR,0
2022,MAY,0
2022,JUN,72.5
2022,JUL,91.1
2022,AUG,376.2
2022,SEP,74.3
2022,OCT,17.3
2022,NOV,0
2022,DEC,0
2023,JAN,0
2023,FEB,0
2023,MAR,0
2023,APR,0
2023,MAY,38.6
2023,JUN,54.7
2023,JUL,121.9
2023,AUG,185
2023,SEP,69.4
2023,OCT,13.6
2023,NOV,0
2023,DEC,0
